ip,date,time,zone,cik,accession,extention,code,size,idx,norefer,noagent,find,crawler,browser
69.22.163.dff,2012-02-12,00:00:01,500.0,1279394.0,0001004726-09-000191,.txt-index.htm,200.0,5590.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.dff,2012-02-12,00:00:01,500.0,1100663.0,0000897436-09-000365,.txt-index.htm,200.0,8155.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.dff,2012-02-12,00:00:01,500.0,1411156.0,0001140361-09-019944,.txt-index.htm,200.0,6806.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.dff,2012-02-12,00:00:01,500.0,1072962.0,0001181431-11-022951,-index.htm,200.0,7858.0,1.0,1.0,1.0,0.0,0.0,
69.22.163.dff,2012-02-12,00:00:01,500.0,1072962.0,0001181431-11-035439,-index.htm,200.0,7858.0,1.0,1.0,1.0,0.0,0.0,
69.22.163.dff,2012-02-12,00:00:01,500.0,750813.0,0001181431-09-041627,.txt-index.htm,200.0,5901.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.dff,2012-02-12,00:00:01,500.0,909221.0,0001145443-09-002133,.txt-index.htm,200.0,22076.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.dff,2012-02-12,00:00:01,500.0,807639.0,0001438934-09-000286,.txt-index.htm,200.0,7676.0,1.0,1.0,0.0,0.0,0.0,chr
69.31.73.fjf,2012-02-12,00:00:01,500.0,813619.0,0001217624-06-000027,edgardoc.xml,200.0,5890.0,0.0,1.0,1.0,0.0,0.0,
69.31.73.fjf,2012-02-12,00:00:01,500.0,92122.0,0001209191-12-005984,xslF345X03/doc4.xml,200.0,24568.0,0.0,0.0,0.0,10.0,0.0,win
69.31.73.fjf,2012-02-12,00:00:01,500.0,1054930.0,0000931763-03-000115,.txt,200.0,129321.0,0.0,1.0,1.0,0.0,0.0,
69.31.73.fjf,2012-02-12,00:00:01,500.0,1136665.0,0001074140-01-000063,.txt,200.0,12275.0,0.0,1.0,1.0,0.0,0.0,
69.31.73.fjf,2012-02-12,00:00:01,500.0,1054930.0,0000931763-02-003632,.txt,200.0,36944.0,0.0,1.0,1.0,0.0,0.0,
69.31.73.fjf,2012-02-12,00:00:01,500.0,1054930.0,0000931763-03-000115,.txt,200.0,129321.0,0.0,1.0,1.0,0.0,0.0,
69.31.73.fjf,2012-02-12,00:00:01,500.0,1054930.0,0000942708-03-000006,.txt,200.0,10769.0,0.0,1.0,1.0,0.0,0.0,
69.31.73.fjf,2012-02-12,00:00:01,500.0,1136665.0,0001074140-01-000063,.txt,200.0,12275.0,0.0,1.0,1.0,0.0,0.0,
69.31.73.igj,2012-02-12,00:00:01,500.0,1136665.0,0001074140-01-000047,.txt,200.0,14392.0,0.0,1.0,1.0,0.0,0.0,
69.31.73.igj,2012-02-12,00:00:01,500.0,1350487.0,0001074683-07-000449,.txt,200.0,22427.0,0.0,1.0,0.0,0.0,0.0,
69.31.73.igj,2012-02-12,00:00:01,500.0,1136665.0,0001074140-01-000050,.txt,200.0,13183.0,0.0,1.0,1.0,0.0,0.0,
69.31.73.igj,2012-02-12,00:00:01,500.0,1350487.0,0001074683-07-000449,.txt,200.0,22427.0,0.0,1.0,0.0,0.0,0.0,
69.31.73.igj,2012-02-12,00:00:01,500.0,1136665.0,0001074140-01-000050,.txt,200.0,13183.0,0.0,1.0,1.0,0.0,0.0,
108.27.104.dad,2012-02-12,00:00:02,500.0,1514281.0,0001193125-11-354049,-index.htm,200.0,5933.0,1.0,0.0,0.0,3.0,0.0,win
117.104.136.bic,2012-02-12,00:00:02,500.0,1047127.0,0001209191-11-010322,-index.htm,200.0,6505.0,1.0,1.0,0.0,0.0,0.0,win
117.104.136.bic,2012-02-12,00:00:02,500.0,1047127.0,0001209191-11-015205,-index.htm,200.0,6635.0,1.0,1.0,0.0,0.0,0.0,win
117.104.136.hee,2012-02-12,00:00:02,500.0,1047127.0,0001209191-11-010320,-index.htm,200.0,6635.0,1.0,1.0,0.0,0.0,0.0,win
117.104.136.hee,2012-02-12,00:00:02,500.0,1047127.0,0001209191-11-015206,-index.htm,200.0,6632.0,1.0,1.0,0.0,0.0,0.0,win
168.143.243.ajg,2012-02-12,00:00:02,500.0,945489.0,0001209191-06-035343,doc4.xml,200.0,10243.0,0.0,1.0,1.0,0.0,0.0,
168.143.243.ajg,2012-02-12,00:00:02,500.0,1276520.0,0000932471-12-003418,.txt,304.0,,0.0,1.0,0.0,0.0,0.0,
209.170.78.hbf,2012-02-12,00:00:02,500.0,1062210.0,9999999997-08-002358,.paper,200.0,290.0,0.0,1.0,0.0,0.0,1.0,
216.246.75.aab,2012-02-12,00:00:02,500.0,795255.0,0001144204-11-049001,-index.htm,200.0,7004.0,1.0,1.0,0.0,0.0,1.0,
216.246.75.aab,2012-02-12,00:00:02,500.0,1424549.0,0001424549-11-000031,fvcb-20110930_cal.xml,200.0,2434.0,0.0,1.0,1.0,0.0,0.0,
216.246.75.afh,2012-02-12,00:00:02,500.0,1426703.0,0001002334-11-000348,jinkai-20110630.xml,200.0,592237.0,0.0,1.0,1.0,0.0,0.0,
216.246.75.afh,2012-02-12,00:00:02,500.0,1062720.0,0001471242-11-000199,ttin-20110731_lab.xml,200.0,73276.0,0.0,1.0,1.0,0.0,0.0,
216.246.75.jbd,2012-02-12,00:00:02,500.0,1335104.0,0001144204-11-048995,-index.htm,200.0,7089.0,1.0,1.0,0.0,0.0,1.0,
69.22.163.bfc,2012-02-12,00:00:02,500.0,883939.0,0000950123-09-039461,.txt-index.htm,200.0,93938.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.bfc,2012-02-12,00:00:02,500.0,799127.0,0000932471-09-001545,.txt-index.htm,200.0,7202.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.bfc,2012-02-12,00:00:02,500.0,943824.0,0000943824-09-000008,.txt-index.htm,200.0,7169.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.bfc,2012-02-12,00:00:02,500.0,845818.0,0001181431-09-041691,.txt-index.htm,200.0,6685.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.bfc,2012-02-12,00:00:02,500.0,799127.0,0000932471-09-001545,.txt-index.htm,200.0,7202.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.bfc,2012-02-12,00:00:02,500.0,1428484.0,0001013228-09-001660,.txt-index.htm,200.0,5546.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.bfc,2012-02-12,00:00:02,500.0,1187520.0,0001099343-09-000131,.txt-index.htm,200.0,5631.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.bfc,2012-02-12,00:00:02,500.0,1029299.0,0001029299-09-000079,.txt-index.htm,200.0,6696.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.bfc,2012-02-12,00:00:02,500.0,845818.0,0001181431-09-041691,.txt-index.htm,200.0,6685.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.bfc,2012-02-12,00:00:02,500.0,1142269.0,0001140361-09-019917,.txt-index.htm,200.0,6651.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.bfc,2012-02-12,00:00:02,500.0,943824.0,0000943824-09-000008,.txt-index.htm,200.0,7169.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.bfc,2012-02-12,00:00:02,500.0,799127.0,0000932471-09-001548,.txt-index.htm,200.0,7229.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.bfc,2012-02-12,00:00:02,500.0,1028621.0,0001193125-09-183887,.txt-index.htm,200.0,16155.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.dff,2012-02-12,00:00:02,500.0,78758.0,0000078713-09-000074,.txt-index.htm,200.0,8256.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.dff,2012-02-12,00:00:02,500.0,1221678.0,0001176256-09-000796,.txt-index.htm,200.0,7372.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.dff,2012-02-12,00:00:02,500.0,1467982.0,0000930413-09-004526,.txt-index.htm,200.0,77957.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.dff,2012-02-12,00:00:02,500.0,1086884.0,0000940400-09-000317,.txt-index.htm,200.0,7969.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.dff,2012-02-12,00:00:02,500.0,945117.0,0000820318-09-000035,.txt-index.htm,200.0,6705.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.dff,2012-02-12,00:00:02,500.0,717423.0,0001193125-08-043756,-index.htm,200.0,13322.0,1.0,0.0,0.0,1.0,0.0,win
69.22.163.dff,2012-02-12,00:00:02,500.0,1229062.0,0001275843-09-000045,.txt-index.htm,200.0,6640.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.dff,2012-02-12,00:00:02,500.0,945117.0,0000820318-09-000035,.txt-index.htm,200.0,6705.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.dff,2012-02-12,00:00:02,500.0,1467982.0,0000930413-09-004526,.txt-index.htm,200.0,77957.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.dff,2012-02-12,00:00:02,500.0,1011509.0,0001140361-09-019950,.txt-index.htm,200.0,6621.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.dff,2012-02-12,00:00:02,500.0,1229062.0,0001275843-09-000045,.txt-index.htm,200.0,6640.0,1.0,1.0,0.0,0.0,0.0,chr
69.31.73.fjf,2012-02-12,00:00:02,500.0,1054930.0,0000931763-02-003533,.txt,200.0,375043.0,0.0,1.0,1.0,0.0,0.0,
69.31.73.fjf,2012-02-12,00:00:02,500.0,1054930.0,0000931763-02-002855,.txt,200.0,653257.0,0.0,1.0,1.0,0.0,0.0,
69.31.73.fjf,2012-02-12,00:00:02,500.0,1054930.0,0000931763-02-003485,.txt,200.0,503214.0,0.0,1.0,1.0,0.0,0.0,
69.31.73.igj,2012-02-12,00:00:02,500.0,1054930.0,0000931763-02-003481,.txt,200.0,16435.0,0.0,1.0,1.0,0.0,0.0,
69.31.73.igj,2012-02-12,00:00:02,500.0,1054930.0,0000931763-02-002859,.txt,200.0,20848.0,0.0,1.0,1.0,0.0,0.0,
71.34.59.jig,2012-02-12,00:00:02,500.0,802106.0,0001019965-02-000127,.txt,200.0,18064.0,0.0,1.0,1.0,0.0,0.0,
99.48.224.dii,2012-02-12,00:00:02,500.0,50104.0,0000050104-12-000013,-index.htm,200.0,8037.0,1.0,0.0,0.0,3.0,0.0,win
117.104.136.bic,2012-02-12,00:00:03,500.0,1047127.0,0001209191-11-010323,-index.htm,200.0,6632.0,1.0,1.0,0.0,0.0,0.0,win
117.104.136.bic,2012-02-12,00:00:03,500.0,1047127.0,0001209191-11-007541,-index.htm,200.0,6635.0,1.0,1.0,0.0,0.0,0.0,win
117.104.136.hee,2012-02-12,00:00:03,500.0,1047127.0,0001209191-11-015204,-index.htm,200.0,6643.0,1.0,1.0,0.0,0.0,0.0,win
117.104.136.hee,2012-02-12,00:00:03,500.0,1047127.0,0001209191-11-007540,-index.htm,200.0,6632.0,1.0,1.0,0.0,0.0,0.0,win
168.143.243.ajg,2012-02-12,00:00:03,500.0,866829.0,0000866829-12-000002,form8k.htm,200.0,24311.0,0.0,1.0,0.0,0.0,0.0,
168.143.243.ajg,2012-02-12,00:00:03,500.0,1328003.0,0001144204-06-023930,v044934_ex.xml,200.0,2902.0,0.0,1.0,1.0,0.0,0.0,
209.170.78.hec,2012-02-12,00:00:03,500.0,400007.0,0001193125-12-052859,-index.htm,200.0,5536.0,1.0,1.0,1.0,0.0,0.0,
216.246.75.aab,2012-02-12,00:00:03,500.0,1294662.0,0001176256-11-000743,kbx-20110630_cal.xml,200.0,32271.0,0.0,1.0,1.0,0.0,0.0,
216.246.75.aab,2012-02-12,00:00:03,500.0,1426703.0,0001002334-11-000463,jinkai-20110930_cal.xml,200.0,7865.0,0.0,1.0,1.0,0.0,0.0,
216.246.75.aab,2012-02-12,00:00:03,500.0,1424549.0,0001424549-11-000031,fvcb-20110930_pre.xml,200.0,44667.0,0.0,1.0,1.0,0.0,0.0,
216.246.75.aab,2012-02-12,00:00:03,500.0,1294662.0,0001176256-11-000743,kbx-20110630_cal.xml,200.0,32271.0,0.0,1.0,1.0,0.0,0.0,
216.246.75.aab,2012-02-12,00:00:03,500.0,1426703.0,0001002334-11-000463,jinkai-20110930_cal.xml,200.0,7865.0,0.0,1.0,1.0,0.0,0.0,
216.246.75.aab,2012-02-12,00:00:03,500.0,1424549.0,0001424549-11-000031,fvcb-20110930_pre.xml,200.0,44667.0,0.0,1.0,1.0,0.0,0.0,
216.246.75.aab,2012-02-12,00:00:03,500.0,1514888.0,0001056520-11-000284,none-20110630_pre.xml,200.0,52245.0,0.0,1.0,1.0,0.0,0.0,
216.246.75.aab,2012-02-12,00:00:03,500.0,1514888.0,0001056520-11-000284,none-20110630.xml,200.0,61412.0,0.0,1.0,1.0,0.0,0.0,
216.246.75.aab,2012-02-12,00:00:03,500.0,1062720.0,0001471242-11-000199,ttin-20110731_cal.xml,200.0,13300.0,0.0,1.0,1.0,0.0,0.0,
216.246.75.aab,2012-02-12,00:00:03,500.0,1294662.0,0001176256-11-000743,kbx-20110630_pre.xml,200.0,93309.0,0.0,1.0,1.0,0.0,0.0,
216.246.75.aab,2012-02-12,00:00:03,500.0,1426703.0,0001002334-11-000463,jinkai-20110930_pre.xml,200.0,74274.0,0.0,1.0,1.0,0.0,0.0,
216.246.75.afh,2012-02-12,00:00:03,500.0,1294662.0,0001176256-11-000743,kbx-20110630.xml,200.0,328063.0,0.0,1.0,1.0,0.0,0.0,
216.246.75.afh,2012-02-12,00:00:03,500.0,1514888.0,0001056520-11-000284,none-20110630_lab.xml,200.0,75057.0,0.0,1.0,1.0,0.0,0.0,
216.246.75.afh,2012-02-12,00:00:03,500.0,1422768.0,0001422768-11-000008,rspo-20110630_pre.xml,200.0,30359.0,0.0,1.0,1.0,0.0,0.0,
216.246.75.afh,2012-02-12,00:00:03,500.0,874501.0,0001193125-12-053012,-index.htm,200.0,5852.0,1.0,1.0,1.0,0.0,0.0,
216.246.75.jbd,2012-02-12,00:00:03,500.0,1424549.0,0001424549-11-000031,fvcb-20110930_lab.xml,200.0,57782.0,0.0,1.0,1.0,0.0,0.0,
69.22.163.bfc,2012-02-12,00:00:03,500.0,918267.0,0000806620-09-000156,.txt-index.htm,200.0,19827.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.bfc,2012-02-12,00:00:03,500.0,1298521.0,0001209191-09-042429,.txt-index.htm,200.0,6690.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.bfc,2012-02-12,00:00:03,500.0,1114700.0,0000950127-09-000198,.txt-index.htm,200.0,5993.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.bfc,2012-02-12,00:00:03,500.0,52848.0,0000932471-09-001586,.txt-index.htm,200.0,7195.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.bfc,2012-02-12,00:00:03,500.0,1114700.0,0000950127-09-000198,.txt-index.htm,200.0,5993.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.bfc,2012-02-12,00:00:03,500.0,52848.0,0000932471-09-001586,.txt-index.htm,200.0,7195.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.bfc,2012-02-12,00:00:03,500.0,1072962.0,0001181431-11-004351,-index.htm,200.0,7876.0,1.0,1.0,1.0,0.0,0.0,
